"team","year","NCSOS"
"New Mexico St.",2022,3.48
"South Dakota St.",2022,3.6
"Oregon",2022,3.17
"Maryland",2022,-0.52
"Drake",2022,-4.51
"Richmond",2022,2.42
"Belmont",2022,5.3
"Northwestern",2022,-11.01
"Penn St.",2022,-2.83
"Iona",2022,3.66
"UNLV",2022,1.18
"Northern Iowa",2022,4.37
"Middle Tennessee",2022,-1.24
"Grand Canyon",2022,-7
"Wichita St.",2022,1.68
"Toledo",2022,2.05
"Bradley",2022,-2.27
"Arizona St.",2022,8.35
"Tulane",2022,-2
"South Carolina",2022,-0.24
"Louisiana Tech",2022,0.48
"Cincinnati",2022,-5.61
"Saint Peter's",2022,3.97
"DePaul",2022,-7.91
"UCF",2022,-3.64
"Florida St.",2022,0.04
"Stanford",2022,1.52
"Princeton",2022,-4.95
"Mississippi",2022,-1.8
"Minnesota",2022,-3.69
"Washington",2022,-2.3
"Wofford",2022,-0.3
"Western Kentucky",2022,-1.29
"George Mason",2022,-1.26
"Boston College",2022,-6.99
"Nevada",2022,4.11
"Temple",2022,-1.69
"Colgate",2022,2.1
"Morehead St.",2022,3.68
"Utah Valley",2022,2.18
"Hofstra",2022,5.38
"Butler",2022,2
"Utah",2022,-1.26
"Stephen F. Austin",2022,3.09
"Liberty",2022,-0.64
"Southern Illinois",2022,-5.76
"Akron",2022,-4.48
"Louisville",2022,1.52
"N.C. State",2022,-3.18
"Florida Atlantic",2022,-6.79
"Buffalo",2022,5.36
"Abilene Christian",2022,-2.82
"Rhode Island",2022,-3.07
"UC Irvine",2022,6.25
"Ohio",2022,-4.56
"UC Santa Barbara",2022,-10.82
"Texas St.",2022,-1.68
"Missouri",2022,2.07
"Montana St.",2022,-1.34
"Seattle",2022,-9.96
"Nebraska",2022,-3.49
"Delaware",2022,-3.75
"California",2022,-2.67
"Sam Houston St.",2022,3.3
"Charleston",2022,1.38
"Longwood",2022,-7.2
"UNC Wilmington",2022,-5.48
"Yale",2022,0.65
"Jacksonville St.",2022,-0.23
"Wagner",2022,1.43
"Georgia St.",2022,2.05
"Kent St.",2022,0.3
"North Dakota St.",2022,-1.84
"Drexel",2022,0.97
"Cal St. Fullerton",2022,-3.84
"Coastal Carolina",2022,1.52
"Georgia Tech",2022,-6.33
"South Alabama",2022,-1.69
"Monmouth",2022,3.83
"Winthrop",2022,6.22
"Long Beach St.",2022,6.47
"New Mexico",2022,1.6
"Southern Utah",2022,1.55
"Saint Joseph's",2022,-1.92
"Jacksonville",2022,-3.25
"Oral Roberts",2022,2.98
"Appalachian St.",2022,7.01
"Gardner Webb",2022,2.79
"UTEP",2022,-1.74
"Hawaii",2022,-5.4
"VMI",2022,-1.07
"Tulsa",2022,-6.08
"Wright St.",2022,-0.23
"Fordham",2022,-7.43
"Weber St.",2022,-0.42
"Georgetown",2022,-1.94
"Norfolk St.",2022,-4.18
"UC Riverside",2022,2.89
"UNC Greensboro",2022,-3.24
"East Carolina",2022,-8.14
"Portland",2022,-6.58
"Arkansas St.",2022,-5.87
"Samford",2022,-3.97
"Louisiana",2022,-2.11
"Navy",2022,3.83
"Massachusetts",2022,-2.64
"East Tennessee St.",2022,4.22
"Texas Southern",2022,10
"Oakland",2022,8.53
"Bryant",2022,0.01
"Niagara",2022,-1.26
"Illinois St.",2022,-5.48
"Troy",2022,-4.27
"Cornell",2022,-1.64
"Old Dominion",2022,-1.07
"Pittsburgh",2022,0.3
"Mercer",2022,1.46
"Cleveland St.",2022,0.26
"Northern Kentucky",2022,-4.51
"Dartmouth",2022,2.63
"Bellarmine",2022,12.84
"Charlotte",2022,-0.27
"Valparaiso",2022,-5.49
"Loyola Marymount",2022,1.89
"Brown",2022,2.98
"Nicholls St.",2022,0.37
"Fairfield",2022,-7.06
"Marist",2022,-7.54
"Florida Gulf Coast",2022,-5.85
"UNC Asheville",2022,-0.46
"South Dakota",2022,-5.83
"Penn",2022,6.82
"Tarleton St.",2022,8.55
"Campbell",2022,-1.02
"UMKC",2022,0.78
"Southern",2022,6.03
"Northern Colorado",2022,7.4
"Eastern Washington",2022,3.05
"Boston University",2022,-4.55
"Georgia",2022,-2.35
"Rice",2022,-7.26
"UC Davis",2022,-6.92
"UT Arlington",2022,10.44
"Kennesaw St.",2022,6.36
"Rider",2022,-4.83
"Cal Baptist",2022,-9.44
"George Washington",2022,-3.98
"James Madison",2022,-0.08
"Harvard",2022,-4.77
"La Salle",2022,-10.37
"Indiana St.",2022,-0.13
"Quinnipiac",2022,-10.82
"San Diego",2022,-3.22
"Oregon St.",2022,1.69
"Howard",2022,-2.37
"LIU",2022,7.68
"Detroit Mercy",2022,3.93
"Purdue Fort Wayne",2022,-7.49
"Marshall",2022,-0.77
"Siena",2022,-4.61
"UMBC",2022,-2.66
"The Citadel",2022,-5.12
"High Point",2022,3.96
"New Hampshire",2022,-2.53
"Southeast Missouri St.",2022,-3.79
"Texas A&M Corpus Chris",2022,-9.14
"Mount St. Mary's",2022,0.27
"Elon",2022,8.96
"Montana",2022,-6.67
"UMass Lowell",2022,-2.22
"Western Illinois",2022,-5.79
"Stony Brook",2022,-1.28
"South Florida",2022,-3.53
"Georgia Southern",2022,-0.51
"Youngstown St.",2022,-6.97
"Northeastern",2022,-0.05
"Portland St.",2022,-0.22
"Manhattan",2022,-6.38
"Canisius",2022,0.57
"Tennessee Tech",2022,3.56
"Eastern Kentucky",2022,-5.62
"UC San Diego",2022,-4.2
"USC Upstate",2022,3.49
"Presbyterian",2022,3.56
"Lipscomb",2022,3.25
"Alcorn St.",2022,14.22
"Miami OH",2022,-3.73
"Ball St.",2022,-5.98
"Louisiana Monroe",2022,1.34
"Air Force",2022,-8.8
"New Orleans",2022,-3.61
"Loyola MD",2022,-4.7
"North Florida",2022,14.05
"Tennessee St.",2022,-8.23
"Southeastern Louisiana",2022,1.83
"FIU",2022,-11.13
"Cal St. Bakersfield",2022,0.64
"Jackson St.",2022,10.93
"Dixie St.",2022,-1.27
"Pepperdine",2022,-0.66
"Duquesne",2022,-4.07
"Prairie View A&M",2022,16.98
"Hartford",2022,-5.32
"Radford",2022,5.57
"Bowling Green",2022,-8.17
"North Carolina Central",2022,2.14
"Albany",2022,-0.63
"Illinois Chicago",2022,0.62
"San Jose St.",2022,-2.71
"North Carolina A&T",2022,2.74
"Binghamton",2022,-3.08
"Austin Peay",2022,6.69
"Morgan St.",2022,1.87
"Pacific",2022,-3.43
"Denver",2022,-4.8
"Army",2022,-3.99
"Western Carolina",2022,-2.74
"Northern Illinois",2022,0.73
"SIU Edwardsville",2022,-1.82
"Merrimack",2022,-1.8
"Coppin St.",2022,5.5
"UT Rio Grande Valley",2022,-0.31
"Lehigh",2022,-5.47
"Grambling St.",2022,10.22
"Stetson",2022,-0.96
"St. Thomas",2022,-2.16
"South Carolina St.",2022,-4.76
"Tennessee Martin",2022,3.96
"Cal Poly",2022,-2.7
"Florida A&M",2022,8.87
"McNeese St.",2022,4.8
"Alabama St.",2022,10.52
"UTSA",2022,-8.18
"Maryland Eastern Shore",2022,5.06
"Alabama A&M",2022,2.23
"North Alabama",2022,3.9
"Eastern Michigan",2022,0.31
"Sacramento St.",2022,0.88
"Central Michigan",2022,2.93
"Central Arkansas",2022,8.37
"Sacred Heart",2022,-5.41
"Evansville",2022,-2.55
"St. Francis NY",2022,-1.67
"Lafayette",2022,-0.24
"Idaho",2022,2.09
"St. Francis PA",2022,-2.03
"Hampton",2022,-3.05
"Robert Morris",2022,2.68
"Little Rock",2022,3.9
"Western Michigan",2022,4.56
"Northwestern St.",2022,6.27
"American",2022,-3.92
"Cal St. Northridge",2022,0.71
"Bethune Cookman",2022,3.23
"Northern Arizona",2022,0.2
"Milwaukee",2022,-3.67
"Bucknell",2022,-1.51
"Houston Baptist",2022,-1.16
"William & Mary",2022,-2.06
"Idaho St.",2022,1.54
"Chicago St.",2022,-5.14
"Southern Miss",2022,-1.21
"NJIT",2022,-6.65
"Green Bay",2022,2.81
"Nebraska Omaha",2022,3.56
"Fairleigh Dickinson",2022,5.54
"Central Connecticut",2022,-1.44
"Charleston Southern",2022,0.38
"North Dakota",2022,-5.97
"Holy Cross",2022,-4.08
"Lamar",2022,-1
"Columbia",2022,-7.91
"Arkansas Pine Bluff",2022,12.05
"Incarnate Word",2022,1.05
"Maine",2022,1.33
"Mississippi Valley St.",2022,4.98
"Delaware St.",2022,-0.81
"Eastern Illinois",2022,-2.12
"IUPUI",2022,-4.7
"Gonzaga",2021,6.21
"Baylor",2021,-2.83
"Michigan",2021,2.51
"Illinois",2021,10.44
"Houston",2021,2.11
"USC",2021,6.28
"Iowa",2021,-4.9
"Colorado",2021,3.82
"Alabama",2021,9.45
"Loyola Chicago",2021,4.81
"Ohio St.",2021,3.47
"Villanova",2021,8.12
"UCLA",2021,9.87
"Wisconsin",2021,1.24
"Florida St.",2021,4.42
"Oregon",2021,3.72
"Texas Tech",2021,-4.88
"Arkansas",2021,-4.09
"Virginia",2021,0.24
"BYU",2021,10.05
"Connecticut",2021,-1.27
"Creighton",2021,-0.73
"West Virginia",2021,13.77
"LSU",2021,1.13
"Purdue",2021,5.71
"Texas",2021,8.2
"Kansas",2021,10.43
"Tennessee",2021,-0.34
"Arizona",2021,-4.01
"San Diego St.",2021,13.66
"Memphis",2021,1.45
"St. Bonaventure",2021,2.44
"Oklahoma St.",2021,5.81
"North Carolina",2021,8.2
"Maryland",2021,-1.11
"Duke",2021,5.59
"Georgia Tech",2021,-0.96
"Rutgers",2021,-5.69
"Oklahoma",2021,1.93
"Penn St.",2021,11.55
"Florida",2021,8.88
"Syracuse",2021,2.09
"Oregon St.",2021,-4.52
"Utah",2021,-5.46
"Clemson",2021,11.6
"Utah St.",2021,8.2
"Missouri",2021,11.39
"VCU",2021,5.66
"Kentucky",2021,15.29
"Indiana",2021,9.18
"Mississippi",2021,-6.82
"Virginia Tech",2021,0.63
"Saint Louis",2021,-1.43
"Seton Hall",2021,11.86
"Drake",2021,-8.21
"SMU",2021,-8.32
"Stanford",2021,9.76
"UC Santa Barbara",2021,4.03
"Louisville",2021,7.71
"Auburn",2021,6.37
"Boise St.",2021,15.51
"Minnesota",2021,0.16
"Georgetown",2021,4.64
"Michigan St.",2021,-1.03
"Richmond",2021,10.89
"Xavier",2021,2.03
"Mississippi St.",2021,-1.44
"Wichita St.",2021,13.71
"St. John's",2021,-2.94
"Davidson",2021,1.16
"N.C. State",2021,-6.18
"North Texas",2021,6.16
"Wright St.",2021,5.39
"Toledo",2021,5.9
"Saint Mary's",2021,2.91
"Colorado St.",2021,2.76
"Buffalo",2021,2.4
"Washington St.",2021,-8.58
"Northwestern",2021,-18.34
"Providence",2021,7.01
"Ohio",2021,1.2
"Louisiana Tech",2021,-8.57
"Marquette",2021,7.66
"Abilene Christian",2021,4.93
"Notre Dame",2021,13.83
"Arizona St.",2021,9.16
"Dayton",2021,4.29
"Missouri St.",2021,-12.01
"Colgate",2021,-99
"Pepperdine",2021,9.71
"Nevada",2021,7.37
"Marshall",2021,0.58
"San Francisco",2021,5.87
"Loyola Marymount",2021,6.76
"Georgia",2021,-6.05
"Furman",2021,2.7
"Pittsburgh",2021,-4.78
"Liberty",2021,1.58
"Western Kentucky",2021,10.37
"UCF",2021,24.7
"Winthrop",2021,4.18
"UAB",2021,-12.09
"Grand Canyon",2021,2.54
"Vanderbilt",2021,-3.13
"Eastern Washington",2021,21.28
"UC Riverside",2021,0.78
"UC Irvine",2021,6.68
"UNC Greensboro",2021,-2.78
"Nebraska",2021,5.6
"Belmont",2021,-5.87
"Rhode Island",2021,11.37
"Akron",2021,20.9
"South Dakota St.",2021,8.01
"California",2021,3.18
"Kent St.",2021,8.03
"Cincinnati",2021,9.57
"Pacific",2021,5.11
"Massachusetts",2021,0.22
"Indiana St.",2021,8.52
"Butler",2021,-0.56
"Tulsa",2021,-3.27
"Weber St.",2021,6.57
"Yale",2021,-99
"South Carolina",2021,9.09
"Oral Roberts",2021,22.06
"Duquesne",2021,2.39
"Wofford",2021,6.31
"East Tennessee St.",2021,4.67
"Washington",2021,11.85
"Bowling Green",2021,1.52
"Mercer",2021,1.56
"Cal St. Bakersfield",2021,3.8
"Vermont",2021,-99
"Morehead St.",2021,16.21
"Southern Utah",2021,-0.64
"UTEP",2021,20.55
"Texas A&M",2021,-5.63
"Miami FL",2021,-7.27
"North Dakota St.",2021,10.84
"TCU",2021,0.6
"DePaul",2021,-8.6
"George Mason",2021,-4.89
"Temple",2021,-13.51
"Tulane",2021,-14.54
"Santa Clara",2021,0.73
"Bradley",2021,6.06
"Kansas St.",2021,-1.47
"Boston College",2021,12.89
"Ball St.",2021,3.81
"New Mexico St.",2021,-3.53
"Stephen F. Austin",2021,-2.05
"Old Dominion",2021,5.55
"VMI",2021,5.01
"Georgia St.",2021,4.62
"East Carolina",2021,-6.89
"Chattanooga",2021,-3.51
"Miami OH",2021,-0.46
"Drexel",2021,-5.75
"South Dakota",2021,10.69
"UTSA",2021,5.87
"Detroit",2021,8.53
"Jacksonville St.",2021,4.66
"Northern Iowa",2021,14.82
"Wyoming",2021,-11.7
"Princeton",2021,-99
"Navy",2021,7.37
"Bellarmine",2021,7.14
"Northeastern",2021,15.12
"Cleveland St.",2021,20.35
"South Florida",2021,2.23
"Iowa St.",2021,4.15
"UMBC",2021,-3.4
"Murray St.",2021,-3.47
"Eastern Kentucky",2021,-7.97
"Wake Forest",2021,-17.91
"UNLV",2021,13.13
"James Madison",2021,-0.26
"Iona",2021,-0.54
"Coastal Carolina",2021,-13.04
"Sam Houston St.",2021,15.53
"Florida Atlantic",2021,-0.22
"Gardner Webb",2021,12.76
"Texas St.",2021,-7.87
"Harvard",2021,-99
"Bryant",2021,4.63
"Siena",2021,-99
"Hawaii",2021,-99
"Rice",2021,-11.86
"Montana",2021,19.82
"Hofstra",2021,5.15
"Fresno St.",2021,-99
"Southern Illinois",2021,-4.3
"Valparaiso",2021,5.09
"Hartford",2021,-0.17
"San Diego",2021,9.58
"Nicholls St.",2021,8.56
"Army",2021,2.78
"Illinois St.",2021,1.99
"Utah Valley",2021,12.48
"La Salle",2021,5.97
"Louisiana",2021,-1.65
"Saint Joseph's",2021,15.47
"UMKC",2021,11.29
"Evansville",2021,-4.4
"Elon",2021,-4.32
"Northern Kentucky",2021,3.87
"Montana St.",2021,5.66
"Texas Southern",2021,14.62
"UC Davis",2021,-0.67
"Norfolk St.",2021,-0.76
"Campbell",2021,-1.81
"Appalachian St.",2021,5.52
"Seattle",2021,-1.33
"Loyola MD",2021,-99
"Austin Peay",2021,-1.46
"Milwaukee",2021,0.69
"South Alabama",2021,-1.13
"The Citadel",2021,-10.53
"Penn",2021,-99
"Cornell",2021,-99
"Oakland",2021,19.69
"Saint Peter's",2021,3.94
"Morgan St.",2021,0.09
"Wagner",2021,19.76
"Delaware",2021,-2.15
"Monmouth",2021,-3.73
"George Washington",2021,-6.36
"Northern Colorado",2021,14.75
"Cal Baptist",2021,-8.93
"UMass Lowell",2021,12.68
"UC San Diego",2021,6.01
"Charleston",2021,2.49
"Stetson",2021,8.03
"Charlotte",2021,-4.6
"Prairie View A&M",2021,7.32
"Stony Brook",2021,2.2
"Mount St. Mary's",2021,11.14
"Lipscomb",2021,3.14
"Little Rock",2021,3.86
"Albany",2021,-3.88
"Western Carolina",2021,-3.78
"Long Beach St.",2021,4.92
"Radford",2021,8.22
"UNC Asheville",2021,-4.57
"Portland St.",2021,10.17
"Youngstown St.",2021,-9.99
"Longwood",2021,1.92
"UNC Wilmington",2021,-2.07
"Brown",2021,-99
"Niagara",2021,10.14
"Canisius",2021,-99
"Arkansas St.",2021,8.54
"UT Arlington",2021,12.89
"Sacramento St.",2021,4.37
"Cal St. Fullerton",2021,-1.35
"Southern Miss",2021,-5.63
"Green Bay",2021,13.51
"Idaho St.",2021,5.63
"Cal St. Northridge",2021,3.97
"Boston University",2021,-99
"Tarleton St.",2021,11.46
"Lafayette",2021,-99
"IUPUI",2021,-15.79
"Samford",2021,-3.32
"Jackson St.",2021,13.02
"Marist",2021,-13.45
"American",2021,-99
"New Hampshire",2021,-4.42
"Southeast Missouri St.",2021,-0.5
"Georgia Southern",2021,-1.33
"LIU",2021,-99
"North Dakota",2021,5.95
"North Alabama",2021,2.8
"Western Michigan",2021,5.17
"Dartmouth",2021,-99
"Bucknell",2021,-99
"Florida A&M",2021,13.05
"New Orleans",2021,2.41
"Florida Gulf Coast",2021,-5.02
"Purdue Fort Wayne",2021,-19.28
"Central Michigan",2021,-6.06
"UT Rio Grande Valley",2021,-1.17
"North Carolina A&T",2021,2.87
"High Point",2021,0.18
"Quinnipiac",2021,-5.16
"Columbia",2021,-99
"Merrimack",2021,-99
"Illinois Chicago",2021,-1.09
"Eastern Michigan",2021,18.07
"Western Illinois",2021,-0.24
"Coppin St.",2021,7.19
"FIU",2021,-7.66
"Jacksonville",2021,-4.87
"New Mexico",2021,-4.14
"NJIT",2021,-0.5
"Louisiana Monroe",2021,-2.77
"North Florida",2021,4.38
"Towson",2021,8.63
"Fairleigh Dickinson",2021,3.84
"Nebraska Omaha",2021,10.2
"St. Francis NY",2021,-6.68
"William & Mary",2021,0.32
"Robert Morris",2021,8.17
"Holy Cross",2021,-99
"Troy",2021,3.59
"Middle Tennessee",2021,0.99
"Lamar",2021,2.64
"Southern",2021,17.22
"Fairfield",2021,-0.56
"Fordham",2021,-99
"Eastern Illinois",2021,2.66
"St. Francis PA",2021,13.07
"Tennessee Tech",2021,10.77
"Howard",2021,-1.12
"Manhattan",2021,-19.54
"Rider",2021,10.52
"Northwestern St.",2021,15.36
"Grambling St.",2021,8.61
"Northern Arizona",2021,12.79
"Tennessee St.",2021,-2.67
"Portland",2021,3.26
"USC Upstate",2021,7.84
"SIU Edwardsville",2021,3.48
"Sacred Heart",2021,22.79
"Binghamton",2021,-8.19
"Presbyterian",2021,-10.52
"Hampton",2021,-3.36
"Dixie St.",2021,-2.47
"Cal Poly",2021,-0.1
"North Carolina Central",2021,12.85
"Central Arkansas",2021,21.14
"Air Force",2021,-2.18
"San Jose St.",2021,2.69
"Lehigh",2021,-99
"Kennesaw St.",2021,8.8
"Southeastern Louisiana",2021,5.34
"Northern Illinois",2021,-5.23
"Denver",2021,-5.27
"Charleston Southern",2021,1.74
"McNeese St.",2021,6.78
"Houston Baptist",2021,11.53
"Alcorn St.",2021,22.33
"Incarnate Word",2021,7.53
"Texas A&M Corpus Chris",2021,3.71
"Central Connecticut",2021,7.82
"Maine",2021,6.69
"Tennessee Martin",2021,-0.86
"Alabama A&M",2021,-5.52
"Bethune Cookman",2021,-99
"Idaho",2021,15.56
"Arkansas Pine Bluff",2021,15.77
"Delaware St.",2021,2.33
"South Carolina St.",2021,2.06
"Alabama St.",2021,-99
"Maryland Eastern Shore",2021,-99
"Chicago St.",2021,9.06
"Mississippi Valley St.",2021,16.42
