RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
35,Connecticut,BE,33,23,121.6,102,0.8829,55.5,48.3,17.1,15.5,BE,33,23,121.6,102,0.8829,55.5,48.3,17.1,15.5,35.6,27.4,8,R32
36,North Carolina,ACC,35,22,118.8,99.8,0.8814,54.2,49.6,15.1,15.2,ACC,35,22,118.8,99.8,0.8814,54.2,49.6,15.1,15.2,29.2,27.1,11,R64
37,Xavier,BE,32,21,116.3,97.8,0.8797,53.9,50.6,16,17.6,BE,32,21,116.3,97.8,0.8797,53.9,50.6,16,17.6,25.2,25.2,11,R64
38,Colorado St.,MWC,34,25,116.9,98.6,0.8761,55.8,48.5,17.4,16.7,MWC,34,25,116.9,98.6,0.8761,55.8,48.5,17.4,16.7,26.4,25.3,12,R32
39,Oregon,B10,33,24,115.1,97.3,0.8744,52.2,49.1,16.2,17.6,B10,33,24,115.1,97.3,0.8744,52.2,49.1,16.2,17.6,30.6,29.2,5,R32
40,New Mexico,MWC,33,26,111.7,94.9,0.8673,50.8,49.2,15.6,20.5,MWC,33,26,111.7,94.9,0.8673,50.8,49.2,15.6,20.5,31.5,25.6,10,R32
41,Ohio St.,B10,32,17,116.8,99.5,0.8632,53.5,48.6,15.6,16.8,B10,32,17,116.8,99.5,0.8632,53.5,48.6,15.6,16.8,28.9,30.5,N/A,
42,Vanderbilt,SEC,32,20,118.6,101.2,0.8621,51.7,52.9,14.7,20,SEC,32,20,118.6,101.2,0.8621,51.7,52.9,14.7,20,32.2,29.7,10,R64
43,Arkansas,SEC,33,20,111.9,95.4,0.8616,52.7,48.3,16.5,17.5,SEC,33,20,111.9,95.4,0.8616,52.7,48.3,16.5,17.5,27.6,28.3,10,S16
44,Cincinnati,B12,33,18,111.6,95.3,0.859,50.9,48.6,15.5,19.7,B12,33,18,111.6,95.3,0.859,50.9,48.6,15.5,19.7,32.3,30.1,N/A,
45,UC San Diego,BW,34,30,113.5,97,0.8589,55.4,47.7,13.4,23.3,BW,34,30,113.5,97,0.8589,55.4,47.7,13.4,23.3,25.6,28.4,12,R64
46,Oklahoma,SEC,33,20,117.7,100.9,0.8549,54.9,51.1,17.3,18.1,SEC,33,20,117.7,100.9,0.8549,54.9,51.1,17.3,18.1,26.5,31.7,9,R64
47,SMU,ACC,33,23,116.8,100.3,0.8529,54.7,47.8,17.4,17.9,ACC,33,23,116.8,100.3,0.8529,54.7,47.8,17.4,17.9,36.7,30.5,N/A,
